EmployeeID,Gender,AgeGroup,Department,Position,Location,JoinDate,ExitDate,TenureMonths,ManagerRating,SatisfactionScore,ReasonForLeaving,WouldRecommend,HasCounteroffer
E02131,Male,40-49,Engineering,Director,Pune,2020-05-21,2025-05-19,60,4,8,Better Opportunity,Yes,No
E02075,Female,30-39,HR,Senior Manager,Pune,2017-08-21,2023-10-18,74,4,7,Manager Issues,Yes,No
E02164,Male,20-29,Marketing,Analyst,Pune,2019-03-14,2024-02-09,59,5,10,Compensation,No,No
E02054,Male,50+,Engineering,Manager,Bengaluru,2021-09-26,2023-09-25,24,3,5,Compensation,No,Yes
E02003,Male,20-29,Engineering,Individual Contributor,Delhi,2020-04-27,2025-02-23,58,4,8,Manager Issues,No,Yes
E02046,Female,20-29,Operations,Individual Contributor,Delhi,2019-05-14,2024-07-10,62,3,6,Compensation,Yes,No
E02064,Male,30-39,Marketing,Analyst,Remote,2022-12-07,2023-09-06,9,4,6,Health,No,No
E02165,Male,30-39,Sales,Senior Analyst,Bengaluru,2023-05-29,2024-08-27,15,4,7,Better Opportunity,Yes,No
E02090,Male,20-29,Engineering,Senior Analyst,Delhi,2020-11-19,2023-08-19,33,4,7,Work-Life Balance,Maybe,No
E02179,Female,20-29,Operations,Analyst,Remote,2023-12-08,2025-05-07,17,4,9,Work-Life Balance,Yes,No
E02225,Male,30-39,Engineering,Director,Bengaluru,2023-02-21,2025-06-21,28,4,8,Better Opportunity,No,Yes
E02121,Prefer not to say,20-29,Engineering,Analyst,Mumbai,2021-12-21,2024-04-20,28,4,9,Career Growth,Yes,No
E02188,Male,30-39,Operations,Analyst,Chennai,2021-01-22,2023-09-21,32,4,9,Manager Issues,Yes,No
E02049,Male,20-29,Product,Analyst,Bengaluru,2021-10-13,2023-07-13,21,5,9,Manager Issues,Yes,No
E02097,Female,20-29,Product,Analyst,Bengaluru,2019-04-20,2024-04-17,60,3,5,Health,Yes,No
E02070,Female,20-29,Sales,Individual Contributor,Pune,2023-10-04,2024-11-02,13,2,2,Relocation,No,Yes
E02024,Male,30-39,Product,Individual Contributor,Bengaluru,2022-06-25,2024-04-23,22,4,8,Relocation,Yes,No
E02177,Male,20-29,Engineering,Individual Contributor,Hyderabad,2022-07-01,2023-07-31,13,5,9,Better Opportunity,No,No
E02062,Female,20-29,Engineering,Analyst,Bengaluru,2021-08-28,2023-08-27,24,4,7,Manager Issues,Yes,No
E02239,Male,20-29,Engineering,Analyst,Delhi,2022-06-12,2023-10-11,16,4,9,Compensation,No,Yes
E02148,Male,30-39,Engineering,Individual Contributor,Hyderabad,2016-09-01,2024-02-28,90,3,4,Career Growth,No,No
E02041,Female,30-39,Engineering,Individual Contributor,Mumbai,2021-05-11,2024-03-09,34,5,8,Work-Life Balance,Yes,Yes
E02184,Male,20-29,Engineering,Analyst,Bengaluru,2020-11-18,2024-10-16,47,5,9,Career Growth,Yes,No
E02019,Female,30-39,Operations,Analyst,Delhi,2022-07-05,2025-05-03,34,4,8,Better Opportunity,Yes,No
E02173,Male,30-39,Engineering,Individual Contributor,Hyderabad,2023-05-26,2025-06-24,25,3,6,Health,Yes,No
E02217,Female,20-29,Marketing,Individual Contributor,Bengaluru,2024-01-24,2025-01-22,12,3,6,Career Growth,No,Yes
E02190,Female,40-49,Engineering,Manager,Pune,2021-09-10,2023-09-09,24,3,5,Compensation,No,Yes
E02022,Male,20-29,Engineering,Senior Analyst,Hyderabad,2023-05-10,2024-04-08,11,4,6,Relocation,No,Yes
E02171,Female,20-29,Operations,Senior Analyst,Delhi,2022-07-07,2024-07-05,24,5,10,Better Opportunity,Yes,Yes
E02204,Female,40-49,Engineering,Senior Analyst,Mumbai,2023-04-25,2025-02-21,22,3,5,Compensation,Yes,No
E02086,Female,30-39,Engineering,Individual Contributor,Hyderabad,2019-11-29,2024-08-26,57,1,3,Compensation,No,No
E02248,Male,30-39,Engineering,Analyst,Mumbai,2023-11-27,2024-06-26,7,4,8,Better Opportunity,No,No
E02030,Female,50+,Engineering,Senior Manager,Mumbai,2023-05-06,2025-03-04,22,3,7,Manager Issues,Yes,No
E02076,Female,30-39,Customer Support,Analyst,Bengaluru,2022-04-07,2024-04-05,24,5,10,Better Opportunity,Yes,Yes
