question,label
year over year comparison,refinement
reasons for the slump,root_cause
show the source data,raw_data
compare to previous year,refinement
explain the reason for the sales decrease,root_cause
suspicious values,anomaly
do price and quantity move together,correlation
how's everything going,smalltalk
karnataka please,refinement
electronics filter on,refinement
what is 2 plus 2,unclear
what r the correlations between these fields?,correlation
exclusively india,refinement
what's the most notable aspect of this,insights
nice chatting with you,smalltalk
show me sales by month,trend
analyse the relationship between these metrics,correlation
predict the outcome for 2028 sales,forecast
"hey, whats up",smalltalk
show me sales over time,trend
which products ar underperforming the most,top_bottom
exclude returns,refinement
"hello, great to meet you",smalltalk
price vs quantity: what's the relationship,correlation
display the data set,raw_data
forecasting revenue growth over the next 5 years,forecast
whats the time in new york,unclear
visualize amount over years,trend
show me the regions with the poorest performance,top_bottom
interesting trends to explore,insights
line graph of website traffic by month,trend
nice to see you,smalltalk
factors contributing to the decline,root_cause
just india,refinement
find the odd one out,anomaly
forecast the amount of profit in 2029,forecast
what does this dashboard data mean exactly?,explain
how do i interpret these results,explain
do changes in price affect quantity,correlation
categories with lowest sales figures,top_bottom
rank all products by performance from lowest to highest,top_bottom
i need help understanding this visualization,explain
see you around,smalltalk
how r u,smalltalk
can you show me the regions with the lowest earning,top_bottom
what are the poorest performing regions in terms of revenue,top_bottom
i need to know whats gonna happen with revenue next quarter,forecast
time series analysis of website traffic,trend
can you give me a summary of the interesting bits,insights
category a and nothing else,refinement
can someone tell me whats goin on here,explain
filter out japan,refinement
what are the most interesting statistics,insights
show the entire raw dataset,raw_data
can you point out something notable,insights
what do you think about music,unclear
just show electronics,refinement
add category electronics,refinement
can someone tell me whats the current time,unclear
display raw data,raw_data
i wanna see our progress ovir time,trend
predictive analysis for 2026 revenue,forecast
what's the meaning of life,unclear
whats the reason for the decrease,root_cause
what caused the surge,root_cause
what drives the relationship between price and quantity,correlation
sales fluctuation over time,trend
can someone write me a poem,unclear
provide a brief summary of our activites,overview
it was nice talkin to u,smalltalk
current stock price of tesla,unclear
give me the big picture,overview
what does this show,explain
show electronics,refinement
can you estimate future demand,forecast
how about a random fact,unclear
can i get a birds eye view?,overview
have a fantastic day,smalltalk
what can you tell me that's noteworthy,insights
why have orders decreased,root_cause
i need to see all the entries,raw_data
thankyou,smalltalk
reset filter to india,refinement
do u no the time,unclear
revenue by region: what are the smallest ones,top_bottom
can you write a play,unclear
can you identify the top drivers of sales revenue?,correlation
monthly sales trend for orders,trend
can you give me a top level view,overview
i need to no whats the time now,unclear
trend analysis by quarter,trend
thank you,smalltalk
thaks,smalltalk
what day is today,unclear
yearly trend of market share,trend
electronic products only,refinement
predicting revenue streams for the next decade,forecast
how are you doing,smalltalk
refine to 2024,refinement
can you show me the correlation between marketing spend and sales?,correlation
hi,smalltalk
can i see the raw info,raw_data
last qtr only,refinement
estimate the sales for the next 12 month period,forecast
whats the monthly trend of new signups,trend
leading brands,top_bottom
can you show me the relationships between different kpis,correlation
can you identfy the key driver,root_cause
can you provide me with a summary of our key perfomance indicators?,overview
predict revenue growth over the next 2 years,forecast
highlight unusual activity,anomaly
can you walk me through this data,explain
